1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
170	1.739863	11.084821	0.328479	0.068403	1.6
171	1.566743	11.264213	0.326653	0.106934	1.4
172	1.999717	11.080108	0.328527	0.076868	1.5
173	2.285596	11.316030	0.326129	0.198279	1.4
174	2.076978	11.869651	0.320636	0.115195	1.5
175	1.894606	11.607276	0.323216	0.158995	1.4
176	1.641774	11.522301	0.324060	0.163845	1.7
177	1.762012	12.124023	0.318174	0.075525	1.6
178	1.916638	12.806561	0.311750	0.234472	1.4
179	2.077961	13.507678	0.305416	0.350638	1.4
180	1.833688	13.230929	0.307885	0.121551	1.5
181	2.001726	14.228064	0.299170	0.137040	1.5
182	2.044331	13.994072	0.301171	0.296422	1.5
183	1.835948	13.718934	0.303557	0.098430	1.4
184	2.086343	14.181485	0.299566	0.166197	1.5
185	1.695140	14.575403	0.296249	0.141460	1.5
186	2.054311	14.352948	0.298114	0.128200	1.4
187	1.773030	14.078751	0.300444	0.097815	1.5
188	1.691867	13.936917	0.301663	0.125360	1.5
189	1.884043	13.777408	0.303047	0.136590	1.4
190	1.765513	14.302289	0.298541	0.139236	1.4
191	2.358849	15.234987	0.290857	0.238606	1.4
192	1.850377	14.958104	0.293096	0.171636	1.5
193	1.499637	14.681349	0.295370	0.120303	2.1
194	1.809128	14.408922	0.297642	0.100500	1.6
195	1.899426	14.267875	0.298833	0.097206	1.6
196	2.015262	14.610532	0.295957	0.116391	1.4
197	1.882327	14.347788	0.298157	0.201565	1.6
198	1.568113	15.213484	0.291029	0.067036	1.5
199	1.652394	14.969372	0.293005	0.075560	1.6
200	1.880722	14.825482	0.294181	0.183819	1.4
201	1.878874	14.917195	0.293430	0.093613	1.4
202	2.127072	15.078951	0.292115	0.089221	1.4
203	1.712093	15.141872	0.291606	0.100933	1.5
204	1.642551	15.242222	0.290799	0.112219	1.4
205	1.826787	15.705995	0.287125	0.141453	1.4
206	2.211704	16.594096	0.280342	0.123368	1.5
207	1.754678	16.804324	0.278783	0.066796	1.4
208	1.875837	16.633882	0.280045	0.050568	2.1
209	1.567295	16.548324	0.280683	0.103782	2.3
210	1.672552	16.646952	0.279948	0.197453	2.2
211	1.845875	17.551818	0.273377	0.114636	2.3
212	1.841962	18.537210	0.266564	0.115454	2.0
213	1.964837	18.285429	0.268272	0.203772	2.0
214	1.820619	19.260590	0.261774	0.049024	2.2
215	1.848271	19.324230	0.261361	0.171872	2.0
216	1.729489	19.250662	0.261839	0.071277	1.5
217	1.759620	19.369770	0.261066	0.084554	1.7
218	1.831710	19.274466	0.261684	0.103071	1.4
219	2.028895	19.258745	0.261786	0.185633	1.9
220	2.166413	18.983154	0.263591	0.101254	1.4
221	2.050564	19.789111	0.258382	0.164941	1.4
222	1.752753	20.339408	0.254943	0.070530	1.4
223	1.938505	20.978941	0.251059	0.063441	1.4
224	1.700057	20.948223	0.251243	0.063101	1.5
225	1.804900	21.069383	0.250519	0.128438	1.9
226	2.026171	21.141279	0.250092	0.151073	2.1
227	1.818449	20.876078	0.251676	0.082273	1.6
228	1.798724	21.565687	0.247598	0.134366	1.4
229	1.667044	21.879984	0.245783	0.177389	1.4
230	1.835946	22.355836	0.243086	0.152596	1.4
231	1.986322	23.345911	0.237659	0.174419	1.5
232	1.771396	23.069490	0.239149	0.118407	1.4
233	1.902016	23.853517	0.234969	0.154548	1.4
234	1.911494	24.223281	0.233048	0.164973	1.4
235	1.847729	24.030992	0.234043	0.130581	1.6
236	1.483969	23.840442	0.235038	0.149836	1.4
237	1.938026	23.617913	0.236210	0.126414	1.4
238	1.932450	24.165182	0.233348	0.115965	1.5
239	1.799829	24.334303	0.232477	0.106856	1.5
240	1.923358	24.069566	0.233843	0.155195	1.4
241	2.032314	24.612758	0.231058	0.125546	1.4
242	1.980682	25.498313	0.226658	0.166052	1.5
243	1.702835	26.462747	0.222052	0.108240	1.4
244	1.770427	27.419832	0.217663	0.079942	1.4
245	1.846998	27.872370	0.215647	0.081849	1.5
246	1.658099	27.865712	0.215677	0.188951	1.5
247	1.525200	27.597108	0.216869	0.132053	1.4
