1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
209	7.867066	50.641637	0.017448	0.841475	2.0
210	7.948062	50.440998	0.017497	3.467701	1.9
211	7.547149	50.945386	0.017375	4.544670	2.0
212	6.983310	50.405013	0.017506	2.656126	2.0
213	7.704927	51.401345	0.017265	4.264987	2.0
214	6.545353	52.289781	0.017056	2.722526	2.0
215	7.701907	53.284966	0.016827	4.668206	2.0
216	8.152619	54.283443	0.016604	6.017637	2.1
217	6.523181	55.156735	0.016414	3.084422	2.0
218	7.933374	54.616325	0.016531	5.800525	2.0
219	5.756968	55.548302	0.016330	2.849941	2.0
220	7.183114	55.157962	0.016413	4.283629	1.9
221	6.749988	54.635019	0.016527	2.466491	2.0
222	8.015773	54.351757	0.016589	5.660631	2.0
223	10.762788	53.864148	0.016697	3.679098	2.0
224	6.854159	54.856032	0.016479	5.124516	2.0
225	7.319677	54.316058	0.016597	7.188450	2.0
226	6.487309	55.136406	0.016418	4.324666	2.0
227	7.556488	56.136406	0.016205	1.689655	2.0
228	9.113142	55.610141	0.016317	6.586862	2.0
229	6.469218	55.092093	0.016428	2.557755	1.9
230	8.657319	56.092053	0.016215	5.601989	1.9
231	10.169784	57.091555	0.016007	8.314135	3.0
232	7.251437	58.091555	0.015805	4.003698	2.9
233	6.856958	59.091554	0.015607	5.526012	2.5
234	6.267860	59.740841	0.015482	1.749049	2.5
235	4.601418	59.490461	0.015530	1.079072	2.5
236	7.043510	59.942965	0.015443	2.932591	2.5
237	8.415218	59.515312	0.015525	2.830531	2.6
238	5.996002	59.693936	0.015491	1.591840	2.6
239	5.159221	59.256214	0.015575	0.842196	2.7
240	5.852309	59.222195	0.015582	0.448322	2.0
241	10.611379	59.226068	0.015581	13.622221	2.0
242	7.673292	59.048733	0.015616	6.044104	2.0
243	8.253969	60.048733	0.015423	6.005405	2.0
244	4.945252	59.508346	0.015527	1.286847	1.9
245	7.142617	59.070063	0.015612	2.651865	2.0
246	5.630009	59.751284	0.015480	0.881867	2.0
247	5.656881	59.932587	0.015445	3.539869	2.0
248	5.894095	59.566275	0.015515	3.348058	2.0
249	7.660758	59.498753	0.015528	3.566597	2.0
250	8.451277	60.445970	0.015348	3.880225	2.0
251	6.189105	61.442070	0.015162	1.147977	2.0
252	7.303630	61.540025	0.015144	5.660800	2.0
253	5.425194	61.013223	0.015242	2.309592	1.9
254	7.164106	62.012858	0.015058	7.126785	2.0
255	5.620027	61.473353	0.015157	0.538430	1.9
256	6.259507	61.976197	0.015065	1.603359	2.0
257	5.385944	61.821161	0.015093	1.164359	2.0
258	8.113339	61.807596	0.015095	3.584242	2.0
259	6.326961	61.322247	0.015184	2.606951	2.0
260	5.934392	60.792227	0.015283	1.212934	2.1
261	7.832092	61.420233	0.015166	5.521053	1.9
262	6.550782	62.227976	0.015019	2.461420	2.0
263	6.005943	61.695585	0.015116	2.161882	1.9
264	8.463808	61.287485	0.015191	3.576077	2.0
265	11.199286	61.792036	0.015098	6.904621	2.0
266	6.317748	62.789908	0.014918	1.185510	2.0
267	12.909268	63.587519	0.014778	8.499808	1.9
268	5.320106	64.026649	0.014701	1.042457	2.1
269	10.747125	65.002860	0.014535	7.418734	2.3
270	6.204348	65.929264	0.014380	2.483923	2.0
271	6.097966	66.929247	0.014216	3.262957	2.0
272	6.214602	66.713607	0.014251	2.308800	2.0
273	6.719937	66.239478	0.014329	2.472503	2.0
274	6.174846	66.160280	0.014342	3.601927	2.0
275	5.230041	66.127240	0.014347	1.170938	2.0
276	5.662740	65.884424	0.014387	2.488100	2.0
277	6.711865	66.121523	0.014348	3.405877	2.0
278	6.583845	65.673286	0.014422	1.088156	1.9
279	7.880348	65.934182	0.014379	5.179397	2.0
280	4.417501	65.765575	0.014407	1.941987	2.0
281	7.513740	66.750941	0.014245	1.990247	2.0
282	7.552585	66.346894	0.014311	1.242507	2.0
283	4.874819	66.837267	0.014231	1.783136	1.9
284	7.648950	66.986010	0.014207	2.805036	2.0
285	9.999342	66.536092	0.014280	2.177885	2.0
286	8.356872	66.476174	0.014290	5.967196	2.0
287	6.578169	65.936088	0.014379	4.779345	1.9
288	5.546016	66.936087	0.014215	2.615826	2.0
289	6.723348	67.921008	0.014058	3.333662	2.0
290	6.524269	68.544157	0.013960	3.949528	2.0
291	5.210301	68.003874	0.014045	3.710347	2.0
292	7.794319	67.817552	0.014074	3.687004	2.0
293	5.513694	67.279668	0.014160	1.496900	2.0
294	6.481289	66.834702	0.014231	1.298256	2.0
295	7.360402	67.138240	0.014182	1.988472	2.0
296	6.055027	67.429393	0.014136	1.740008	2.0
297	6.207698	67.872697	0.014065	1.165746	2.0
298	6.081246	67.704083	0.014092	1.941575	2.0
299	7.406091	67.592613	0.014110	1.328848	2.0
